                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.62684,                0.38832,                0.91212,                0.97285,                      1,                  0.995,                0.86522,                0.59783,                0.35294,                 1.0019,              0.0012872,              0.0012872,              0.0012872
                     38,                0.67823,                0.42647,                0.90313,                0.96604,                      1,                  0.995,                0.85775,                0.59787,                0.33172,                  1.005,              0.0012674,              0.0012674,              0.0012674
                     39,                0.58587,                0.35647,                0.88889,                0.97046,                      1,                  0.995,                0.86729,                0.58185,                0.33102,                 0.9934,              0.0012476,              0.0012476,              0.0012476
                     40,                0.57904,                0.36471,                0.89946,                0.98603,                      1,                  0.995,                0.86178,                0.58486,                0.32596,                0.99557,              0.0012278,              0.0012278,              0.0012278
                     41,                0.59576,                0.36699,                0.89489,                0.99139,                      1,                  0.995,                0.87234,                0.57794,                0.32068,                 0.9944,               0.001208,               0.001208,               0.001208
                     42,                0.56365,                0.34086,                0.87889,                0.99396,                      1,                  0.995,                0.85278,                0.59322,                0.33029,                0.98924,              0.0011882,              0.0011882,              0.0011882
                     43,                0.61923,                0.35516,                0.91783,                 0.9939,                      1,                  0.995,                0.85636,                 0.5952,                0.32827,                0.99106,              0.0011684,              0.0011684,              0.0011684
                     44,                0.56362,                0.34947,                0.86529,                0.99276,                      1,                  0.995,                0.87944,                0.60253,                0.30905,                0.99085,              0.0011486,              0.0011486,              0.0011486
                     45,                0.56892,                0.34262,                0.87998,                 0.9916,                      1,                  0.995,                0.87271,                0.57677,                0.30702,                0.97424,              0.0011288,              0.0011288,              0.0011288
                     46,                0.52906,                0.32177,                0.88716,                0.98621,                      1,                  0.995,                0.84998,                 0.6008,                0.33156,                0.97818,               0.001109,               0.001109,               0.001109
                     47,                0.58672,                0.34837,                 0.9109,                0.98236,                      1,                  0.995,                0.84815,                0.62087,                0.32762,                0.98389,              0.0010892,              0.0010892,              0.0010892
                     48,                0.59745,                0.36002,                0.90191,                0.96423,                      1,                  0.995,                0.86626,                0.56777,                0.33856,                0.96621,              0.0010694,              0.0010694,              0.0010694
                     49,                0.61147,                0.35435,                0.90291,                0.96055,                      1,                  0.995,                0.86813,                  0.568,                0.33748,                0.96437,              0.0010496,              0.0010496,              0.0010496
                     50,                 0.5874,                0.39274,                 0.9002,                0.96067,                      1,                  0.995,                0.84656,                0.60143,                0.33012,                0.97252,              0.0010298,              0.0010298,              0.0010298
                     51,                0.59167,                0.36554,                0.89755,                0.96062,                      1,                  0.995,                0.87562,                 0.5507,                0.32033,                0.96172,                0.00101,                0.00101,                0.00101
                     52,                 0.5374,                0.35043,                0.87294,                0.98415,                      1,                  0.995,                0.85892,                0.58448,                0.33278,                0.97517,              0.0009902,              0.0009902,              0.0009902
                     53,                 0.5579,                0.34337,                0.90036,                0.99018,                      1,                  0.995,                0.86382,                0.59359,                0.33795,                0.98019,              0.0009704,              0.0009704,              0.0009704
                     54,                0.59102,                0.35617,                0.87639,                0.99338,                      1,                  0.995,                0.86058,                 0.6161,                0.32534,                0.98854,              0.0009506,              0.0009506,              0.0009506
                     55,                0.60353,                0.37508,                 0.8809,                0.99207,                      1,                  0.995,                0.87515,                0.58733,                 0.3096,                 0.9776,              0.0009308,              0.0009308,              0.0009308
                     56,                0.55043,                0.32755,                0.89427,                0.98913,                      1,                  0.995,                0.87867,                0.55169,                0.30008,                0.97082,               0.000911,               0.000911,               0.000911
                     57,                0.52323,                0.32497,                0.89168,                0.98645,                      1,                  0.995,                0.87011,                0.55289,                0.30546,                0.97143,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.5166,                0.33527,                0.91323,                0.97541,                      1,                  0.995,                0.87888,                0.54416,                0.32122,                0.96492,              0.0008714,              0.0008714,              0.0008714
                     59,                0.53565,                0.32533,                0.86195,                0.96879,                      1,                  0.995,                0.86444,                0.56823,                0.33008,                0.96994,              0.0008516,              0.0008516,              0.0008516
                     60,                0.54338,                 0.3488,                0.88145,                0.97249,                      1,                  0.995,                0.83529,                0.66295,                0.35465,                0.99892,              0.0008318,              0.0008318,              0.0008318
                     61,                0.55009,                0.33349,                0.84563,                0.97284,                      1,                  0.995,                0.82501,                0.67899,                0.35891,                  1.003,               0.000812,               0.000812,               0.000812
                     62,                0.60618,                0.35705,                0.87553,                0.97012,                      1,                  0.995,                0.84397,                0.63458,                0.34381,                0.98449,              0.0007922,              0.0007922,              0.0007922
